ลำดับ,accident,injured,death,ปี
57,อัคคีภัย,0,0,2545
58,อัคคีภัย,0,0,2545
59,อัคคีภัย,0,0,2545
60,ก๊าซแอมโมเนียรั่ว,0,0,2545
61,ท่อออกซิเจนระเบิด,2,1,2545
62,ก๊าซแอมโมเนียรั่ว,0,0,2545
63,อัคคีภัย,0,0,2545
64,อัคคีภัย,0,0,2545
65,อัคคีภัย,0,0,2545
66,ไฟฟ้าดูด,4,0,2545
67,อัคคีภัย,0,0,2545
68,อัคคีภัย,0,0,2545
69,อัคคีภัย,0,0,2545
70,อัคคีภัย,0,0,2545
71,อาคารถล่ม,0,0,2545
72,อัคคีภัย,1,0,2545
72,อัคคีภัย,0,0,2545
73,อัคคีภัย,2,0,2545
74,เครื่องจักร,0,1,2545
75,อัคคีภัย,0,0,2545
76,อัคคีภัย,0,0,2545
77,อัคคีภัย,0,0,2545
78,เครื่องจักร,1,0,2545
79,อัคคีภัย,0,0,2545
80,ระเบิด,3,0,2545
81,ระเบิด,5,0,2545
82,อัคคีภัย,0,0,2545
83,อัคคีภัย,0,0,2545
84,อัคคีภัย,0,0,2545
85,อัคคีภัย,0,0,2545
86,อัคคีภัย,0,0,2547
87,อัคคีภัย,0,0,2547
88,อัคคีภัย,0,0,2547
89,ก๊าซแอมโมเนียรั่ว,5,0,2547
90,ระเบิด,0,0,2547
91,เครื่องจักร,0,1,2547
92,อัคคีภัย,0,0,2547
93,อัคคีภัย,2,0,2547
94,อัคคีภัย,0,0,2547
95,อัคคีภัย,7,0,2547
96,อัคคีภัย,0,0,2547
97,สารเคมีรั่วไหล,0,,2547
98,อัคคีภัย,0,0,2547
99,ท่อออกซิเจนระเบิด,0,0,2547
100,อัคคีภัย,0,0,2547
101,ก๊าซแอมโมเนียรั่ว,0,0,2547
102,อัคคีภัย,0,0,2547
103,เครนล้นทับ,0,2,2547
104,ก๊าซแอมโมเนียรั่ว,66,0,2547
105,อัคคีภัย,0,0,2547
106,หม้อไอน้ำระเบิด,0,0,2547
107,สารเคมีรั่วไหล,1,2,2547
108,อัคคีภัย,0,0,2547
109,ถังแอลกอฮอล์ ระเบิด,3,0,2547
110,ระเบิด,0,1,2547
111,ระเบิด,6,3,2547
112,อัคคีภัย,0,0,2547
113,อัคคีภัย,0,0,2547
114,อัคคีภัย,0,0,2547
115,อาคารถล่ม,1,0,2547
116,ท่อออกซิเจนระเบิด,1,1,2547
117,อัคคีภัย,0,0,2547
118,อาคารถล่ม,1,0,2547
119,อัคคีภัย,0,0,2547
120,อัคคีภัย,0,0,2547
121,อัคคีภัย,0,0,2547
122,อัคคีภัย,0,0,2547
123,อัคคีภัย,0,0,2547
124,อัคคีภัย,0,0,2547
125,อัคคีภัย,0,0,2547
126,อัคคีภัย,2,0,2547
127,อัคคีภัย,0,0,2547
128,อัคคีภัย,0,0,2547
129,อัคคีภัย,0,0,2547
130,อัคคีภัย,0,0,2547
131,อัคคีภัย,0,0,2547
132,อัคคีภัย,0,0,2547
133,อัคคีภัย,59,0,2547
134,อัคคีภัย,0,0,2547
135,อัคคีภัย,0,1,2547
136,เครื่องจักร,1,0,2547
137,อัคคีภัย,0,0,2547
138,ก๊าซแอมโมเนียรั่ว,7,0,2547
139,เครื่องจักร,1,0,2547
140,อัคคีภัย,0,3,2547
141,อัคคีภัย,0,0,2547
142,อัคคีภัย,8,3,2547
143,อัคคีภัย,0,0,2547
144,อัคคีภัย,0,1,2547
145,ก๊าซแอมโมเนียรั่ว,27,0,2547
146,ระเบิด,1,3,2547
147,ระเบิด,1,0,2547
148,อัคคีภัย,0,0,2547
149,อัคคีภัย,0,0,2547
150,สารเคมีรั่วไหล,0,0,2547
151,อัคคีภัย,0,0,2547
152,สารเคมีรั่วไหล,0,0,2547
153,อัคคีภัย,0,0,2547
154,อัคคีภัย,0,0,2547
155,ระเบิด,3,1,2547
156,อัคคีภัย,0,0,2547
157,อัคคีภัย,0,0,2547
158,ระเบิด,0,1,2547
159,อัคคีภัย,5,0,2547
160,อัคคีภัย,0,0,2547
161,อัคคีภัย,1,0,2547
162,ระเบิด,0,14,2547
163,อัคคีภัย,0,0,2547
164,อัคคีภัย,0,0,2547
165,เครื่องจักร,1,0,2547
166,อัคคีภัย,0,0,2547
167,อัคคีภัย,0,0,2547
168,อัคคีภัย,0,0,2547
169,อัคคีภัย,0,0,2547
170,ระเบิด,0,0,2547
171,อัคคีภัย,0,0,2547
172,ก๊าซแอมโมเนียรั่ว,0,0,2547
173,อัคคีภัย,0,0,2547
174,อัคคีภัย,0,0,2547
175,อัคคีภัย,0,0,2547
176,เครื่องจักร,0,1,2547
177,อัคคีภัย,0,0,2547
178,อัคคีภัย,0,0,2547
179,อัคคีภัย,0,0,2547
180,อัคคีภัย,0,0,2547
181,อัคคีภัย,0,0,2547
182,เครื่องจักร,0,1,2547
183,อัคคีภัย,0,0,2547
184,อัคคีภัย,0,0,2547
185,อัคคีภัย,0,0,2547
186,อัคคีภัย,0,0,2547
187,ระเบิด,0,2,2547
188,ท่อออกซิเจนระเบิด,4,0,2548
189,อัคคีภัย,0,0,2548
190,เครื่องจักร,1,0,2548
191,อัคคีภัย,0,0,2548
192,อัคคีภัย,0,0,2548
193,อัคคีภัย,0,0,2548
194,อัคคีภัย,0,0,2548
195,ก๊าซแอมโมเนียรั่ว,7,0,2548
196,อัคคีภัย,0,0,2548
197,อัคคีภัย,0,0,2548
198,ระเบิด,14,0,2548
199,ก๊าซแอมโมเนียรั่ว,75,0,2548
200,อัคคีภัย,0,0,2548
201,อัคคีภัย,2,0,2548
202,อัคคีภัย,0,0,2548
203,อัคคีภัย,0,0,2548
204,อัคคีภัย,0,0,2548
205,อัคคีภัย,0,0,2548
206,อัคคีภัย,2,1,2548
207,สารเคมีรั่วไหล,57,0,2548
208,เครื่องจักร,0,1,2548
209,อัคคีภัย,0,0,2548
210,อัคคีภัย,0,0,2548
211,อัคคีภัย,0,0,2548
212,อัคคีภัย,0,0,2548
213,ระเบิด,5,0,2548
214,อัคคีภัย,1,0,2548
215,อัคคีภัย,0,0,2548
216,ท่อออกซิเจนระเบิด,0,1,2548
217,อัคคีภัย,0,0,2548
218,อัคคีภัย,0,0,2548
219,ระเบิด,7,0,2548
220,อัคคีภัย,0,0,2548
221,อัคคีภัย,0,0,2548
222,อัคคีภัย,0,0,2548
223,อัคคีภัย,0,0,2548
224,ก๊าซแอมโมเนียรั่ว,2,0,2548
225,อัคคีภัย,0,0,2548
226,ก๊าซแอมโมเนียรั่ว,80,0,2548
227,ก๊าซแอมโมเนียรั่ว,64,0,2548
228,อัคคีภัย,0,0,2548
229,อัคคีภัย,2,0,2548
230,อัคคีภัย,6,1,2548
231,อัคคีภัย,0,0,2548
232,อัคคีภัย,0,0,2548
233,อัคคีภัย,0,0,2548
234,ระเบิด,1,1,2548
235,อัคคีภัย,0,0,2548
236,อัคคีภัย,0,0,2548
237,อัคคีภัย,0,0,2548
238,อัคคีภัย,0,0,2548
239,อัคคีภัย,0,0,2548
240,อาคารถล่ม,2,0,2548
241,อัคคีภัย,0,0,2548
242,ระเบิด,3,0,2548
243,อัคคีภัย,0,0,2548
244,อัคคีภัย,0,0,2548
245,อัคคีภัย,0,0,2548
246,เครื่องจักร,1,0,2549
247,ก๊าซแอมโมเนียรั่ว,31,0,2549
248,ก๊าซแอมโมเนียรั่ว,0,0,2549
249,อัคคีภัย,0,0,2549
250,เครื่องจักร,0,1,2549
251,อัคคีภัย,0,0,2549
252,ก๊าซแอมโมเนียรั่ว,19,0,2549
253,อัคคีภัย,0,0,2549
254,อัคคีภัย,0,0,2549
255,อัคคีภัย,0,0,2549
256,ระเบิด,0,1,2549
257,อัคคีภัย,1,0,2549
258,อัคคีภัย,0,0,2549
259,ก๊าซแอมโมเนียรั่ว,9,0,2549
260,ระเบิด,0,0,2549
261,ระเบิด,0,0,2549
262,อัคคีภัย,3,0,2549
263,ระเบิด,1,0,2549
264,เครื่องจักร,0,1,2549
265,อัคคีภัย,0,0,2549
266,อัคคีภัย,0,0,2549
267,อัคคีภัย,0,0,2549
268,อัคคีภัย,0,0,2549
269,อัคคีภัย,0,0,2549
270,ระเบิด,1,0,2549
271,ระเบิด,0,0,2549
272,อัคคีภัย,0,0,2549
273,อัคคีภัย,0,0,2549
274,อัคคีภัย,0,0,2549
275,อัคคีภัย,0,0,2549
276,อัคคีภัย,0,0,2549
277,อัคคีภัย,0,0,2549
278,ระเบิด,6,4,2549
279,อัคคีภัย,10,0,2549
280,อัคคีภัย,0,0,2549
281,อัคคีภัย,0,0,2549
282,ระเบิด,3,2,2549
283,ก๊าซแอมโมเนียรั่ว,0,0,2549
284,อัคคีภัย,0,0,2549
285,ก๊าซแอมโมเนียรั่ว,15,0,2549
286,ก๊าซแอมโมเนียรั่ว,0,0,2549
287,ระเบิด,3,0,2549
288,เครื่องจักร,1,0,2549
289,อัคคีภัย,0,0,2549
290,ระเบิด,4,0,2549
291,อัคคีภัย,0,0,2549
292,อัคคีภัย,0,0,2549
293,อัคคีภัย,4,0,2549
294,อัคคีภัย,0,0,2549
295,ระเบิด,0,1,2549
296,เครื่องจักร,0,1,2549
297,อัคคีภัย,0,0,2549
298,อัคคีภัย,0,0,2549
299,อัคคีภัย,0,0,2549
300,อัคคีภัย,0,1,2549
301,อัคคีภัย,2,0,2549
302,อัคคีภัย,0,0,2549
303,อัคคีภัย,0,0,2549
304,อัคคีภัย,0,0,2549
305,เครื่องจักร,3,1,2549
306,ระเบิด,2,1,2549
307,ระเบิด,0,0,2549
308,ก๊าซแอมโมเนียรั่ว,0,0,2549
309,อัคคีภัย,0,0,2549
310,ระเบิด,0,0,2549
311,อัคคีภัย,0,0,2549
312,ระเบิด,1,1,2549
313,ระเบิด,3,0,2549
314,ระเบิด,0,0,2549
315,อัคคีภัย,0,0,2549
316,ระเบิด,3,0,2549
317,อัคคีภัย,0,0,2549
318,อัคคีภัย,0,0,2549
319,อัคคีภัย,0,0,2549
320,ระเบิด,1,0,2549
321,อัคคีภัย,0,0,2549
322,อัคคีภัย,0,0,2549
323,เครื่องจักร,0,1,2549
324,อัคคีภัย,2,0,2549
325,อัคคีภัย,0,0,2549
326,อัคคีภัย,0,0,2549
327,อัคคีภัย,0,0,2549
328,อัคคีภัย,2,0,2549
329,อัคคีภัย,0,0,2550
330,อัคคีภัย,2,2,2550
331,อัคคีภัย,0,0,2550
332,อัคคีภัย,0,0,2550
333,อัคคีภัย,0,0,2550
334,อัคคีภัย,0,0,2550
335,มีดบาด,1,0,2550
336,เครื่องจักร,1,0,2550
337,อัคคีภัย,0,0,2550
338,อัคคีภัย,4,0,2550
339,อัคคีภัย,0,0,2550
340,อัคคีภัย,0,1,2550
341,อัคคีภัย,0,0,2550
342,ก๊าซแอมโมเนียรั่ว,20,0,2550
343,อัคคีภัย,0,0,2550
344,ก๊าซแอมโมเนียรั่ว,74,0,2550
345,อัคคีภัย,0,0,2550
346,ก๊าซแอมโมเนียรั่ว,2,0,2550
347,อัคคีภัย,0,0,2550
348,อัคคีภัย,0,0,2550
349,ระเบิด,0,0,2550
350,อัคคีภัย,0,0,2550
351,อัคคีภัย,0,0,2550
352,ก๊าซแอมโมเนียรั่ว,0,0,2550
353,ของตกทับ,1,0,2550
354,มีดบาด,1,0,2550
355,ระเบิด,0,2,2550
356,วัตถกระเด็นเข้าตา,1,0,2550
357,อัคคีภัย,0,0,2550
358,อัคคีภัย,2,0,2550
359,ระเบิด,3,4,2550
360,อัคคีภัย,0,0,2550
361,อัคคีภัย,0,0,2550
362,ก๊าซแอมโมเนียรั่ว,2,0,2550
363,อัคคีภัย,0,0,2550
364,อัคคีภัย,0,0,2550
365,ระเบิด,2,0,2550
366,ระเบิด,1,1,2550
367,เครื่องจักร,0,1,2550
368,อัคคีภัย,0,0,2550
369,อัคคีภัย,0,0,2550
370,เครื่องจักรกระแทก,1,0,2551
371,ถูกทับ,1,0,2551
372,ถูกทับ,1,0,2551
373,ระเบิด,6,2,2551
374,เครื่องจักรกระแทก,1,0,2551
375,อัคคีภัย,0,0,2551
376,ก๊าซแอมโมเนียรั่ว,0,0,2551
377,อัคคีภัย,0,0,2551
378,อัคคีภัย,0,0,2551
379,สารเคมีรั่วไหล,0,0,2551
380,ก๊าซแอมโมเนียรั่ว,0,0,2551
381,อัคคีภัย,0,0,2551
382,เครื่องจักรหนีบ,0,1,2551
383,สารเคมีรั่วไหล,0,0,2551
384,ระเบิด,2,1,2551
385,อัคคีภัย,0,0,2551
386,ระเบิด,0,2,2551
387,อัคคีภัย,0,0,2551
388,ระเบิด,2,0,2551
389,ระเบิด,0,1,2551
390,ก๊าซรั่ว,0,0,2551
391,ระเบิด,2,0,2551
392,ก๊าซแอมโมเนียรั่ว,0,0,2551
393,อัคคีภัย,0,0,2552
394,อัคคีภัย,0,0,2552
395,อัคคีภัย,0,0,2552
396,อัคคีภัย,30,0,2552
397,อัคคีภัย,0,0,2552
398,อัคคีภัย,0,0,2552
399,อัคคีภัย,0,0,2552
400,อัคคีภัย,0,0,2552
401,อัคคีภัย,0,0,2552
402,อัคคีภัย,0,0,2552
403,ระเบิด,2,0,2552
404,อัคคีภัย,0,0,2552
405,อัคคีภัย,0,0,2552
406,ของตกทับ,1,0,2552
407,ของตกทับ,1,0,2552
408,อัคคีภัย,0,0,2552
409,อัคคีภัย,0,0,2552
410,อัคคีภัย,0,0,2552
411,เครื่องจักรหนีบ,0,1,2552
412,เครื่องจักรหนีบ,1,0,2552
413,ถูกกระแทก,1,0,2552
414,อัคคีภัย,0,0,2552
415,อัคคีภัย,0,0,2552
416,ก๊าซรั่ว,4,1,2552
417,อัคคีภัย,0,0,2553
418,อัคคีภัย,0,0,2553
419,อัคคีภัย,0,0,2553
420,ของตกทับ,0,1,2553
421,ก๊าซแอมโมเนียรั่ว,0,0,2553
422,อัคคีภัย,0,0,2553
423,ของตกทับ,1,0,2553
424,อัคคีภัย,0,0,2553
425,อัคคีภัย,0,0,2553
426,อัคคีภัย,0,0,2553
427,ก๊าซรั่ว,9,0,2553
428,ก๊าซแอมโมเนียรั่ว,0,0,2553
429,อัคคีภัย,91,0,2553
430,อัคคีภัย,0,0,2553
431,อัคคีภัย,0,0,2553
432,ระเบิด,5,2,2553
433,ก๊าซแอมโมเนียรั่ว,97,0,2553
434,ระเบิด,3,1,2553
435,อัคคีภัย,0,3,2553
436,อัคคีภัย,0,0,2553
437,ถูกกระแทก,1,0,2554
438,อัคคีภัย,0,0,2554
439,อัคคีภัย,0,0,2554
440,อัคคีภัย,0,0,2554
441,เครื่องจักรหนีบ,1,0,2554
442,อัคคีภัย,0,0,2554
443,อัคคีภัย,0,0,2554
444,ถูกหนีบ,1,0,2554
445,อัคคีภัย,0,0,2554
446,อัคคีภัย,3,0,2554
447,อัคคีภัย,8,0,2554
448,อัคคีภัย,0,0,2554
449,อัคคีภัย,12,3,2554
450,อัคคีภัย,9,0,2554
451,อัคคีภัย,16,0,2555
452,อัคคีภัย,0,0,2555
453,อัคคีภัย,0,0,2555
454,อัคคีภัย,5,3,2555
455,สารเคมีรั่วไหล,1,0,2555
456,อัคคีภัย,100,0,2555
457,ถูกบาด,1,0,2555
458,อัคคีภัย,0,0,2555
459,อัคคีภัย,0,0,2555
460,อัคคีภัย,0,0,2555
461,อัคคีภัย,0,0,2555
462,อัคคีภัย,0,0,2555
463,อัคคีภัย,0,0,2555
464,ถูกทับ,1,0,2555
465,สารเคมีรั่วไหล,22,0,2555
466,อัคคีภัย,0,0,2555
467,อัคคีภัย,3,0,2555
468,อัคคีภัย,0,0,2555
469,อัคคีภัย,0,0,2555
470,อัคคีภัย,0,0,2555
471,ถูกบาด,1,0,2555
472,อัคคีภัย,0,0,2555
473,อัคคีภัย,0,0,2555
474,อัคคีภัย,3,0,2555
475,ก๊าซรั่ว,0,5,2555
476,อาคารถล่ม,5,1,2555
477,อัคคีภัย,3,0,2555
478,ระเบิด,0,0,2555
479,อัคคีภัย,0,0,2555
480,ระเบิด,0,0,2555
481,อัคคีภัย,0,0,2555
482,อัคคีภัย,0,0,2555
483,อัคคีภัย,0,0,2555
484,ก๊าซแอมโมเนียรั่ว,14,0,2555
485,อัคคีภัย,0,0,2555
486,อัคคีภัย,0,0,2555
487,อัคคีภัย,0,0,2555
488,อัคคีภัย,7,0,2555
489,อาคารถล่ม,12,1,2555
490,ก๊าซแอมโมเนียรั่ว,17,0,2555
491,ระเบิด,9,0,2555
492,อัคคีภัย,0,0,2555
493,อัคคีภัย,0,0,2555
494,อัคคีภัย,0,0,2556
495,อัคคีภัย,0,0,2556
496,อัคคีภัย,0,0,2556
497,อัคคีภัย,0,0,2556
498,อัคคีภัย,0,0,2556
499,ของตกทับ,0,1,2556
500,ระเบิด,2,1,2556
501,อัคคีภัย,2,0,2556
502,อัคคีภัย,0,0,2556
503,อัคคีภัย,0,0,2556
504,ก๊าซแอมโมเนียรั่ว,0,0,2556
505,อัคคีภัย,0,0,2556
506,อัคคีภัย,0,0,2556
507,ก๊าซแอมโมเนียรั่ว,7,0,2556
508,ระเบิด,1,3,2556
509,ก๊าซแอมโมเนียรั่ว,2,0,2556
510,อัคคีภัย,0,0,2556
511,ของตกทับ,0,2,2556
512,ก๊าซแอมโมเนียรั่ว,0,0,2556
513,อัคคีภัย,0,0,2556
514,อัคคีภัย,0,0,2556
515,อัคคีภัย,0,0,2556
516,อัคคีภัย,0,0,2556
517,อัคคีภัย,0,0,2556
518,อัคคีภัย,0,0,2556
519,อัคคีภัย,0,0,2556
520,ที่อับอากาศ,2,2,2556
521,อัคคีภัย,0,0,2556
522,อัคคีภัย,0,0,2556
523,อัคคีภัย,0,0,2556
524,อัคคีภัย,0,0,2556
525,อัคคีภัย,2,0,2556
526,อัคคีภัย,0,0,2556
527,อัคคีภัย,0,0,2556
528,อัคคีภัย,0,0,2556
529,อัคคีภัย,1,0,2556
530,อัคคีภัย,0,0,2556
531,อัคคีภัย,0,0,2556
532,ระเบิด,1,1,2556
533,ระเบิด,1,0,2556
534,อัคคีภัย,0,0,2556
535,ถูกบาด,1,0,2556
536,อัคคีภัย,0,0,2556
537,ฟ้าผ่า,0,0,2556
538,เครื่องจักรหนีบ,1,0,2556
539,อัคคีภัย,0,0,2556
540,อัคคีภัย,0,0,2556
541,ก๊าซแอมโมเนียรั่ว,0,0,2556
542,อัคคีภัย,0,0,2556
543,เครื่องจักรหนีบ,1,0,2556
544,อัคคีภัย,0,0,2556
545,อัคคีภัย,0,0,2556
546,อัคคีภัย,0,0,2556
547,เครื่องจักรหนีบ,1,0,2556
548,ของตกทับ,0,1,2556
549,อัคคีภัย,0,0,2556
550,ก๊าซแอมโมเนียรั่ว,0,0,2556
551,อัคคีภัย,0,0,2556
552,อัคคีภัย,0,0,2556
553,ของตกทับ,0,1,2556
554,อัคคีภัย,0,0,2556
555,ระเบิด,1,2,2556
556,ของตกทับ,1,0,2556
557,อัคคีภัย,0,0,2556
558,อัคคีภัย,0,0,2556
559,อัคคีภัย,4,0,2556
560,อัคคีภัย,0,0,2556
561,ระเบิด,5,0,2556
562,ลื่นล้ม,1,0,2556
563,อัคคีภัย,0,0,2556
564,ตกจากที่สูง,0,1,2556
565,ระเบิด,1,1,2556
566,อัคคีภัย,0,0,2556
567,อัคคีภัย,0,0,2556
568,อัคคีภัย,0,0,2556
569,มีดบาด,1,0,2556
570,อัคคีภัย,0,0,2556
571,ตกลงไปในบ่อ,0,1,2556
