,Date,Time,Location,Operator,Type,Flight,Aboard,Fatalities,Ground,Summary
29,21 04 1970,,"Manila, Philippines",Philippine Air Lines,Hawker Siddeley HS-748-209,215,36,36,0,"The aircraft was on a flight from Cauayan, Isabela to Manila when it crashed into mountainous terrain after an explosion in the rear lavatory of the aircraft  broke off the tail section."
30,25 04 1970,,"Rivolto, Italy",Military - Italian Air Force,Fairchild C-119G,,19,19,0,Crashed after experiencing engine problems.
31,28 04 1970,,"Kainatu,  New Guinea",Trans Australia Airlines,de Havilland Canada DHC-6 Twin Otter 100,,11,8,0,Crashed after taking off from a dirt air strip.
32,05 02 1970,15:49:00,"Near St. Croix, US Virgin Islands",Antillian Airlines,McDonnell Douglas DC-9-33CF,980,63,23,0,"The flight was scheduled to fly from New York to St. Maarten. Because of poor visibility, the aircraft could not land at St. Maarten and was diverted to San Juan, Puerto Rico. Five minutes later the crew was told the weather had improved at St. Maarten and were directed back. After 3 missed landing attempts at St. Maarten, the crew asked to be diverted to St. Thomas. By this time, the plane was very low on fuel and the crew chose to divert to St. Croix. While trying to make St. Croix, the aircraft ran out of fuel and ditched into the sea, 35 miles from shore, sinking in 5,000 ft. of water. Improper management of fuel by the crew. Continued, unsuccessful attempts to land at St. Maarten until insufficient fuel remained to reach an alternate airport. A contributing factor was rain showers in the approaching zone not reported to the crew. Inadequate warning given to passengers before the ditching."
33,05 04 1970,,"Hamilton AFB, California",Military - U.S. Air Force,Convair CV-240,,14,13,0,
34,05 06 1970,,"Mogadishu, Somalia",Somali Airlines,Vickers 785D Viscount,,30,5,0,"After loosing all flight controls on approach, the aircraft hit the runway hard, collapsing the nose gear and sliding off the runway. In-flight fire of unknown origin which resulted in loss of the flight controls."
35,05 09 1970,,"Iligan, Philippines",Philippine Air Lines,Fokker F-27 Friendship 100,,33,1,0,"In almost zero visibility, control was lost during takeoff. The plane ran off the runway, the wing tip struck a rock pile and the plane cartwheeled."
36,05 09 1970,21:28:00,"Pellston, Michigan",Executive Jet Sales Inc.,Gates Learjet 23,-,6,6,0,"The aircraft, cleared for an instrument landing, broke through scattered clouds at 400 feet, landing short of the runway, crashing into trees and exploding into a ball of fire. Illusions produced by the lack of visual cues during a circling approach over unlighted terrain at night to a runway not equipped with approach lights or other visual approach aides. Possibility of altimeter error. United Auto Worker's President, Walter Reuther, 63, and his wife killed along with Oskar Stronorov, William Wolfman and pilots George Evans and Joseph Karrafa."
37,15 05 1970,,"Kishiniev, Moldavia, USSR",Aeroflot,Antonov AN-10,,11,11,0,The plane crashed during a training flight.
38,22 05 1970,,"Off Puntarenas, Costa Rica",Linea Aeropostal Venezolana,Curtiss C-46A-55-CK,,6,6,0,Crashed into the sea while en route.
39,26 05 1970,,"Near Tegucigalpa, Honduras",Aeroservice S de RL,de Havilland DH-114 Heron 1B,,6,6,0,"While on approach, the plane banked to the left and crashed to the ground. The pilot stalled the plane in turbulence at a low altitude."
40,30 05 1970,09:30:00,"Chamblee, Georgia",Lehigh Acres Development Inc.,Martin 404,701,33,1,5,There was a loss of power as the aircraft climbed after taking off from DeKalb Peachtree Airport. The plane touched down and slid along a highway for one-half a mile striking a automobile killing 5 people. Loss of effective engine power because of improper fuel having been placed in the tanks by relatively untrained personnel. A contributing factor was the flightcrew did not detect the error.
41,06 01 1970,03:12:00,"Tripoli, Libya",Ceskoslovenske Aerolinie,Tupolev TU-104A,,13,13,0,Undershot runway in fog and crashed after two failed landing attempts. Crew error.
42,06 02 1970,,"Roxas, Philippines",Philippine Air Lines,Fokker F-27 Friendship 100,,44,1,0,A hand grenade exploded inside the passenger cabin at FL130 . A safe emergency landing was made despite a 9 sq. ft. hole in the fuselage.
43,06 10 1970,,"Near Huaricanga, Peru",LADE,Fokker F-27 Friendship 400M,,8,5,0,"Crashed onto a 15,000 ft. mountain."
44,07 03 1970,14:00:00,"McGrath, Alakska",Reeder Flying Service,Douglas DC-3,,27,5,0,"Crashed into trees shortly after taking off. The pilot-in-command diverted attention from operation.  Pilot rotated at V2, reduced power, co-pilot raised gear, prop hit runway."
45,07 03 1970,19:05:00,"Near Arbucias, Gerona, Spain",Dan Air Services,de Havilland Comet 4,,112,112,0,"Due to heavy traffic, the flight was diverted from the planned route. The aircraft failed to follow the assigned airway and crashed into a cloud obscured Montseny Mountain while on approach. The deviation from the assigned airway may have been caused by malfunctioning equipment. In addition, the ATC did not realize the aircraft was deviating from its assigned course."
46,07 05 1970,08:09:00,"Toronto, Canada",Air Canada,McDonnell Douglas DC-8-63,621,109,109,0,"While attempting to land at Toronto, at approximately 60 feet above the runway, the spoilers were inadvertently deployed causing the aircraft to fall to the runway and lose the No. 4 engine. With the wing on fire, the captain decided to go-around but while circling the plane lost the No. 3 engine and eventually went into a seep dive and crashed. Inadvertent deployment of the spoilers by the first officer while the aircraft was still in the air. Faulty design by allowing the spoiler handle to perform two different unrelated tasks (lift to arm and pull to deploy). After the crash McDonnell Douglas denied there was any design flaw and the FAA decided to issue an Airworthiness Directive requiring a warning placard on all DC8s. After two and possibly three more crashed with the same cause an AD was issued requiring a safety lock be installed."
47,18 07 1970,17:20:00,North AtlantiOcean,Military - Soviet Air Force,Antonov AN-22,,23,23,0,"Disappeared without a trace while en route with a final destination of Peru, 40 minutes after takeoff. The plane was carrying a field hospital to earthquake stricken Peru."
48,24 07 1970,10:30:00,"Lincoln, New Mexico",Del Rio Flying Service - Air Taxi,Cessna 310J,,7,7,0,Flew into mountain ridge obscured by clouds. Continued VFR flight into adverse weather conditions.
49,27 07 1970,11:35:00,"Tokyo, Japan",Flying Tiger Line,McDonnell Douglas DC-8-63AF,45,4,4,0,Cargo plane. An unarrested rate of descent due to inattention of the crew to instrument altitude references while the pilot was attempting to establish outside visual contact in meteorological conditions which precluded such contact during that segment of a precision radar approach inbound from the Decision Height.
50,30 07 1970,,"Pau, France",Military - Forces Militaires Franรงaises,Nord 2501 Noratlas,,37,37,0,
51,08 03 1970,,"Near Las Vegas, Nevada",Military - United States Navy,Lockheed P-3A Orion,,10,10,0,Broke up and crashed after penetrating a thunderstorm 50 miles south of Las Vegas.
52,08 06 1970,02:17:00,"Islamabad, Pakistan",Pakistan International Airlines,Fokker F-27 Friendship 200,,30,30,0,Crashed into terrain after takeoff in thunderstorms and strong winds.
53,08 09 1970,15:00:00,"Near Cuzco, Peru",Lineas Aereas Nacionales SA (Peru),Lockheed 188A Electra,,100,99,2,"The flight crashed shortly after takeoff after the No. 3 engine failed. Procedural error after an emergency occurred. With flaps retracted, the aircraft lost altitude and crashed while in a turn. The improper execution of engine-out procedures by the flight crew with contributing factors of improper loading of the aircraft and improper maintenance procedures by company personnel."
54,08 12 1970,03:44:00,"Taipei, Taiwan",China Airlines (Taiwan),NAMC YS-11A-219,,31,14,0,Crashed on Yuan mountain while on approach to Taipei during a thick fog.
55,26 08 1970,,"Near Tam Ky, South Vietnam",Military - U.S. Army,Boeing Vertol CH47B (helicopter),,32,30,0,Shot down by a rocket grenade.
56,29 08 1970,,"Near Silcher, India",Indian Airlines,Fokker F-27 Friendship 400,,39,39,0,Crashed in jungled hills shortly after takeoff. The pilot didn't climb to the minimum sector altitude and continued directly to Gauhati.
57,30 08 1970,,"Haringvreter, Netherlands",Dutch Continental Airways,Britten-Norman BN-2A Islander,,10,3,0,Struck trees and crashed on Haringvreter Island. he pilot suffered spatial disorientation after entering a fog bank. The pilot was not IFR qualified.
58,09 02 1970,,"Near Dnepropetrovsk, Ukraine, USSR",Aeroflot,Tupolev TU-124,,37,37,0,Crashed while cruising at FL270.
59,09 03 1970,,"Near Leningrad, USSR",Aeroflot,Yakovlev YAK-40,,22,22,0,Crashed into a mountain.
60,09 08 1970,16:06:00,"New York, New York",Trans International Airlines,McDonnell Douglas DC-8-63CF,863,11,11,0,"Rejected takeoff. Lost control and crashed. Loss of pitch control caused by the entrapment of a pointed, asphalt-covered object between the leading edge of the right elevator and the right horizontal spar web access door in the aft part of the stabilizer."
61,09 09 1970,,"Orocovis, Puerto Rico",San Juan Air,Britten-Norman BN-2A Islander,,1,1,0,Struck a mountain.
62,22 09 1970,08:25:00,"Cranbrook, Canada",Eagle Flight - Air Taxi,Cessna T337B,,4,4,0,Descended below minimum approach altitude for unknown reasons.
63,26 09 1970,,"Near Vagar, Denmark",Icelandair,Fokker F-27 Friendship 300,,34,8,0,"Crashed into mountains on Mueggenaes Island at  an altitudwe of 1,500 ft., 2 miles off course, while descending, after holding for 20 minutes."
64,30 09 1970,,"Near Da Nang, Vietnam",Air Vietnam (South Vietnam),Douglas DC-3-DST,,38,38,0,Flew into high ground after being diverted to Da Nang in poor weather conditions.
65,10 01 1970,,"Mys-Kammenyj, Russia",Aeroflot,Antonov An-12B,,8,8,0,Lost three engine while taking off and crashed. Malfunctioning fuel system.
66,10 02 1970,12:00:00,"Mt. Trelease, near Silver Plume, Colorado","Charter, Golden Eagle Aviation Inc.",Martin 404,108,40,30,0,"Two charter planes took off Wichita for a flight to Logan, Utah via Denver. The flight was uneventful to Denver.  The crew of N464M decided to fly a sceniroute the rest of the way to Logan. The aircraft, which was overloaded by 5,165 lbs. , flew into a box canyon. Confronted with steeply rising terrain, the pilot made a sharp bank trying to turn around in the narrowing valley and stalled, crashing into a mountainous forested area on  Mt. Trelease. Numerous members and staff of the Wichita State Football team were killed. The pilot had only 123 total hours in a Martin 404, the copilot 30 hours. Intentional operation of the aircraft over a mountain valley route at an altitude from which the aircraft could neither climb over the obstructing terrain ahead, nor execute a successful course reversal. Other factors included overloaded conditions, lack of a flight planning and minimum qualifications of the crew."
67,10 02 1970,14:07:00,"Near Taipei, Taiwan",Military - U.S. Air Force,Lockheed C-130E,,43,43,0,The aircraft struck a mountain ridge 6 minutes after taking off from Taipei. Deviation off course while flying  IFR in zero visibility.
68,10 04 1970,15:10:00,"Mahaffey, Pennsylvania",Private,Aero Commander 500-B,,2,2,0,"The aircraft crashed into a mountainside 20 minutes after taking off. NASCAR driver Curtis Turner, 46, was killed along with pro-golfer Clarence King. King was flying the plane and had a blood alcohol of 0.17. Alcoholiimpairment of efficiency and judgment.  Evidence showed the passenger, Turner had a severe heart attack prior to the accident."
69,10 06 1970,,"Near Germiston, South Africa",National Airways,Douglas DC-3,,11,3,0,"Shortly after takeoff, the No. 1 engine failed.  After feathering the prop, the crew tried to return to the airport but the plane crashed 1.2 miles from the airport. The plane was carrying employees of the Anglo American Corporation."
70,10 10 1970,21:30:00,"Dayton, Ohio",Saturn Airways,Lockheed L-100-20 Hercules,,3,3,0,"The crew of the cargo plane became disoriented and struck the ground 5,000 ft. short of the runway. Fog, low ceiling, spatial disorientation, improper IFR operation."
71,16 10 1970,16:49:00,"New Castle, Delaware",Delaware Aviation - Air Taxi,Piper PA-28R,,2,2,0,"Pilot received landing clearance then was observed in climbs, dives and turns below traffipattern before crashing. Undetermined cause."
72,28 10 1970,,"Pointe-ร -Pitre, Guadeloupe",Aerocosta Colombia,Curtiss C-46D,,4,2,0,The cargo plane crashed while attempting to make an emergency landing.
73,14 11 1970,19:36:00,"Near Huntington, West Virginia",Southern Airways,McDonnell Douglas DC-9-31,932,75,75,0,"While on approach, the aircraft crashed one mile short of Runway 11 at Tri-State Airport in rain and fog. Thirty-six players and 5 coaches on the Marshall University football team were among those killed. Improper procedures executed by the crew. Descent below Minimum Descent Altitude during a nonprecision approach under adverse operating conditions, without visual contact with the runway environment. The reason for this descent was not able to be determined, although the two most likely explanations are ( a ) improper use of cockpit instrumentation data, or (b) an altimetry system error ."
74,24 11 1970,09:30:00,"Nar Can Tho, South Vietnam",Military - Vietnamese Air Force / Military - U.S. Army,de Havilland RU-6A Beaver /Bell UH-1H,,18,18,0,"Mid-air collision at 1,200 ft."
75,27 11 1970,17:05:00,"Anchorage, Alaska",Capital Airlines,McDonnell Douglas DC-8-63CF,26,229,47,0,"The military charter overran the runway during takeoff, hit the ILS localizer support structure and burst into flames. The lack of acceleration, undetected by the crew  until after V1 speed was reached caused by the main landing gear wheels remaining locked after power was applied for takeoff on the icy runway due to brake or hydraulifailure."
76,27 11 1970,13:30:00,"Near Nha Trang, South Vietnam",Military - U.S. Air Force,Fairchild C-123K,,79,79,0,Crashed into high ground on a mountainside while on a flight from Saigon to Nha Trang Air Base. Cause unknown.
77,29 11 1970,14:30:00,"Near Cam Ranh, South Vietnam",Military - U.S. Air Force,Fairchild C-123K,,44,42,0,Crashed into the jungle 15 miles from it destination as the pilot prepared to land at Saigon in poor weather conditions.
78,12 02 1970,,"Dhaka, Bangladesh",Cargolux,Canadair CL-44J,,4,4,0,The cargo plane crashed while attempting to land. Malfunction of the hydraulisystem caused the controls to lock.
79,12 05 1970,,"Delhi, India",Jamair,Douglas DC-3,,16,5,0,"The No. 2 engine failed on takeoff due to fuel starvation. The plane made a right turn, lost control and crashed."
80,12 07 1970,,"Near Constanta, Romania",Tarom,BAC One-Eleven  424EU,,27,18,0,Crashed 4 kms short of the runway on approach in poor weather after being diverted to Bucurest.
81,19 12 1970,,"Panarah, Pakistan",Aeroflot,Antonov AN-22,,25,25,0,Crashed during an emergency landing with engines on fire.
82,28 12 1970,14:42:00,"St. Thomas, Virgin Islands",Trans Caribbean Airways,Boeing B-727-2A7,505,55,2,0,"The aircraft experienced a hard landing which caused it to bounce. The crew executed a second touchdown which caused the main landing gear to fail. The aircraft veered off the right side of the runway, passed through the airport perimeter fence, crossed a paved highway and hit an embankment. Captain's use of improper techniques in recovering from a high bounce generated by a poorly executed approach and touchdown."
83,30 12 1970,,"Near Shemshernagar,  Pakistan",Pakistan International Airlines,Fokker F-27 Friendship 200,,35,7,0,Crashed and burned on landing.
84,31 12 1970,,"Off Algiers, Algeria",Rousseau Aviaiton,Nord 262E,,31,31,0,Ditched in the ocean. Mayday received. No trace of the plane ever found.
85,31 12 1970,,"Leningrad, Russia",Aeroflot,Ilyushin IL-18B,,93,93,0,The plane crashed during takeoff on a flight to Erevan.
86,01 02 1971,,"Ben Gashir, Libya",United Arab Airlines,de Havilland Comet 4C,844,16,16,0,Crashed 7 kms from the runway in a sandstorm. Decision to land while visibility was below company minimums for that particular airport at night.
87,01 09 1971,16:20:00,"Edison, New Jersey",American Airlines / Private,Boeing B-707-323 / Cessna 150,30,21,2,0,"Midair collision at 3,000 ft.  Failed to see and avoid other aircraft. The Boeing 707 landed safely. Two killed on the Cessna.  System permitted VFR operation in congested area in reduced visibility."
88,18 01 1971,15:49:00,"Zurich, Switzerland",Balkan Bulgarian Airlines,Ilyushin IL-18,LZ130,47,45,0,"The crew decided while on the ground at Paris not to stop at Zurich but later, while in flight, changed their minds when they received reports of improving weather. The plane crashed during the approach to Zurich after drifting to the right and below the glide path. The left wing tip and landing gear struck the ground first."
89,21 01 1971,,"Near Privas, France",L'Armรฉe de L'Air,Nord 262A-34,,21,21,0,Crashed and exploded  in a snowstorm in mountainous terrain. Thirteen of France's nuclear weapons experts were killed.
90,21 01 1971,07:35:00,"Near Pacae, Peru",Fuerza Aรฉrea del Peru,Curtiss-Wright C-46,,35,35,0,Crashed in the Andes mountains after experiencing engine trouble.
91,22 01 1971,,"Surgut, USSR",Aeroflot,Antonov AN-12,,13,13,0,Crashed on approach.
92,10 02 1988,,"Sao Pedro da Aldeia, Brazil",Aramar,Beech King Air F90,,8,8,0,
93,23 01 1971,,"Near Sokcho, South Korea",Korean Airlines,Fokker F-27 Friendship 500,,60,2,0,Crash landed on a beach after a hijacker detonated grenades he was carrying. The hijacker and the co-pilot were killed by the grenade explosions.
94,25 01 1971,,"Merida, Venezuela",Linea Aeropostal Venezolana,Vickers Viscount 749,,48,18,0,Crash landed onto Cruces de Daji mountain in the Andes eight minutes after taking off off from Merida.
95,31 01 1971,,"Voroshilovgrad, Russia",Aeroflot,Antonov AN-10,,7,7,0,Aileron oscillations coincided with flap extension. The crew misunderstood aileron oscillations for asymmetrical flap extension and retracted the flaps. The airspeed dropped to 172 knots and the aileron suddenly deflected causing a left roll. The aircraft undershot the runway and crashed. The hinge moment reversal on the ailerons caused by icing.
96,02 07 1971,16:12:00,"Aguadilla, Puerto Rico",Jamie Ramirez - Air Taxi,Piper PA-28,,3,3,0,The pilot declared a engine problem and ditched into the ocean.  A search found no evidence of the aircraft or occupants.
97,17 02 1971,,"Mt. Cunatineuta, Ecuador",TAME,Curtiss C-46,,12,12,0,Cashed into a mountain 15 minutes after taking off in poor weather conditions.
98,26 03 1971,,"Gauhati, India",Jamair,Douglas DC-3,,15,15,0,Hit  a mountain after deviating from the prescribed course. Wreckage found 6 days later.
99,31 03 1971,06:33:00,"Ontario, California",Western Airlines,Boeing B-720-047B,366,5,5,0,"The aircraft, during a training flight suddenly rolled to the left and  crashed after a missed, 3 engine, ILS approach. Failure of the aircraft rudder hydrauliactuator support fitting which led to the loss of left rudder control. Stress corrosion cracks."
100,31 03 1971,,"Vorochilovgrad, Ukraine",Aeroflot,Antonov An-10,,64,64,0,Crashed on approach resulting from structural failure of the right outer wing.
101,15 04 1971,07:00:00,"Near San Jose, Philippines",Military - Philippine Air Force,Douglas C-47A,,40,39,0,"Crashed into a rice field moments after taking off from Basa Air Base near Floridablanca. Climbed to 200 ft. banked to the left, stalled and crashed to the ground. Failure of the right engine. A young boy was the only survivor."
102,20 04 1971,09:45:00,"Kayenta, Arizona",Monument Valle - Air Taxi,Cessna TU206B,,2,2,0,The aircraft went into a spin at the top of a ridge and crashed. Moderate to severe turbulence was forcast in the area.
103,21 04 1971,17:26:00,"C. Amalie, Virgin Islands",Costal Airway,Beech E18S,,8,8,0,The plane crashed on take off after an engine failure. Inadequate maintenance and inspection of powerplants. Failed to follow approved procedures and directives. Improper emergency procedures.
104,22 04 1971,17:01:00,"Manchester, New Hampshire",New England Aviaiton,Beechcraft C35,,4,4,0,The aircraft experienced engine failure during takeoff and crashed. Fuel starvation. Fuel selector positioned between tanks. Pilots unfamilarity with aircraft. Had only 1 hour in type aircraft.
105,05 06 1971,13:15:00,"Coolidge, Arizona",Apache Airlines - Air Taxi,de Havilland 104-7X,,12,12,0,Crashed after the wing separated from the fuselage. Fractured due to fatigue which propagated in area of corrosion and fretting.
106,05 11 1971,,"Guatemala City, Guatemala",Aviateca,Curtiss C-46A-55-CK,,35,5,0,Crashed in a hill.
107,05 12 1971,19:30:00,"Anaktvk Pass, Alaska",Gay Airways - Air Taxi,Sud Aviation SA 318C,,4,2,0,The pilot suffered spatial disorientation in whiteout conditions. Continued VFR flight into adverse weather conditions.
108,23 05 1971,20:00:00,"Near Rijeka, Yugoslavia",Aviogenex (Yugoslavia),Tupolev TU-134A,130,83,78,0,"The aircraft crashed on landing at Rijeka Airport during a heavy rain storm. After a too rapid descent, the aircraft landed extremely hard on the runway causing the left wing to separate. The aircraft turned over and slid 2,300 ft. and burst into flames. Improper handling of the flight and engine controls. Optical illusion due to the intense rain which caused a refraction of light."
109,26 05 1971,15:00:00,"Near Capetown, South Africa",Military - South African Air Force,Hawker Siddeley HS 125-400B (3),,11,11,0,All three planes crashed into Devil's Peak  and exploded while flying in a V formation in heavy mist.
110,28 05 1971,11:08:00,"Roanoke, Virginia",Private,Aero Commander 680E,,6,6,0,"The flight crashed into the side of a mountain during a thunderstorm. Continued VFR flight into adverse weather conditions.  Entered instrument weather at too low an altitude to clear mountain.  World War II hero and western movie star Audie Murphy, 46, killed."
111,28 08 1971,,"Off Copenhagen, Denmark",Malev Hungarian Airlines,Ilyushin IL-18D,,34,32,0,Disappeard from radar while eight miles short of the runway and crashed into the sea while on approach. Crew error. Crew flew below prescribed minimum altitiude.
112,12 06 1971,,"Tikaka, Sudan",Sudan Airways,Fokker F-27 Friendship 200,,42,10,0,The aircraft experienced a forced landing after being hijacked and running out of fuel.
113,06 06 1971,17:11:00,"Near Duarte, California",Hughes Airwest  / Military - US Marine Air Corps,McDonnell Douglas DC-9-31 / F4-B,706,51,50,0,"The DC-9 was climbing to FL 330 under radar control of the LA ARTCC and the F4-B was en route to El Toro under VFR. Visibility was good with no clouds. The collision took place at 15,150 feet. Both planes crashed into the San Gabriel Mountains. One of two killed on the F4 when the forward canopy did not jettison. The other crew member parachuted to safety unhurt. All forty-nine killed aboard the DC-9. Failure of both crews to see and avoid each other and failure of the F4 crew to request radar advisory service and particularly considering the fact that they had  an inoperable transponder.  Allegations also surfaced that the F-4B was performing an aerobatics maneuver shortly before the collision."
114,06 07 1971,08:49:00,"New Haven, Connecticut",Allegheny Airlines,Convair CV-580,485,31,28,0,"The aircraft crashed into a row of beach houses, 4,980 feet short of the runway. Captain's intentional descent below minima under adverse weather conditions while trying to locate the runway despite advisories from 1st. officer."
115,13 06 1971,13:30:00,North PacifiOcean,Military - U.S. Air Force,Boeing - EC-135N,,24,24,0,Disappeared while en route. Met with an undisclosed catastrophievent and plunged into the sea. Believed to  have struck the surface at high speed.
116,17 06 1971,14:30:00,"Near Arica, Chile",SAVCO,Douglas DC-6,,6,6,0,"The aircraft struck Putre Mountain at an altitude of 18,000 feet.  Improper flight planning for IMC weather."
117,27 06 1971,18:00:00,"Garberville, California",Shelter Cove Sea Park,Douglas DC-3,,24,17,0,"The aircraft was unable to gain height on takeoff. It struck a transformer and a building, became airborne and went off a cliff into the ocean. Failure of the pilot to remove the rudder and elavator gust locks."
118,07 03 1971,18:10:00,"Hokkaido, Japan",Toa DomestiAirline (Japan),NAMC YS-11A-227,63,68,68,0,The aircraft crashed into Yokotsu Mountain while on approach. Navigational error after strong winds caused flight to drift.
